ID;ASESOR;CDUSUARIO;PERFIL;GÉNERO;TIPO DE FAMILIA;FECHA DE NACIMIENTO;EDAD;MOMENTO DE VIDA;NUMERO DE DEPENDIENTES;ESTADO;Valor deuda;Tiene o no tiene deudas;Rango deuda;Cotizacion;CIERRE;FECOTIZACION;AYV;INGRESOS_EMPLEADOS;INGRESOS_INDEPENDIENTE;TOTAL_INGRESOS;GRUPO VALOR;Empleados o Indenpendientes;FUMA;ALCOHOL;ACTIVIDAD_FISICA;TIEMPO_ACTIVIDAD;Cat_Act_Física;USA_MOTO;USA_AUTOMOVIL;USA_BICICLETA;USATRANS_PUBLICO;Movilidad;ALIMENTACION;ESTRES;PESO;ESTATURA;Cine;Cultura;Deporte;Lectura;Mascotas;Musica;Otros;Restaurantes;Tecnologia;Viajes;Total_general
42130;1111;JUANFRRO;Auxiliar;F;Solo;32446,95833;29,73162101;Adulto Joven 1;0;COTIZACION;350000;;< 1 SMLVM;1;0;8/03/2017;S;1000000;0;1000000;BAJO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NO;NO;SI;NO;NO;SI;NO;NO;NO;SI;3
42131;42688;42688;Asesor;M;Solo;23821,95833;53,36175799;Adulto;0;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;5000000;5000000;ALTO;Independiente;NO;1;SI;2,5;2;N;S;N;N;2;Normal;NA;;;NO;NO;SI;NO;NO;SI;NO;NO;NO;SI;3
42132;19820;19820;Asesor;M;Nuclear;29650,95833;37,39189498;Adulto Joven 2;2;SOLICITUD;4800000;;> 5 SMLVM;1;1;8/03/2017;S;14000000;0;14000000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42133;13966;13966;Asesor;M;Nuclear;25468,95833;48,84942922;Adulto;2;SOLICITUD;600000;;< 1 SMLVM;1;1;8/03/2017;S;3500000;0;3500000;MEDIO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NO;NO;NO;NO;NO;NO;NO;SI;SI;SI;3
42134;44526;44526;Asesor;M;Nuclear;25354,95833;49,16175799;Adulto;2;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;1000000;0;1000000;BAJO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42135;4393;4393;Asesor;M;Nuclear;25913,95833;47,63025114;Adulto;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;0;0;NA;Independiente;NA;NA;NO;NA;NA;N;N;N;N;NA;NA;0;54;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42136;11076;11076;Asesor;M;Nuclear;25701;48,21369863;Adulto;1;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;0;5000000;5000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2
42137;2032;ESTEBEGO;Auxiliar;M;Pareja sin hijos;30732,95833;34,42751142;Adulto Joven 1;1;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;4000000;500000;4500000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;SI;NO;SI;NO;NO;NO;NO;SI;NO;NO;3
42138;22700;OSCABAOS;Auxiliar;M;Monoparental;33095,95833;27,95353881;Adulto Joven 1;2;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;1200000;0;1200000;BAJO;Empleado;SI;1;SI;2;1;N;S;N;N;2;Saludable;1;84;172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42139;11091;MAIRLOAL;Auxiliar;M;Solo;25004;50,12328767;Adulto;0;COTIZACION;1000000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;0;2500000;2500000;MEDIO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
